0,1,2
-3.37933,-7.67536,1.0
-3.17933,-7.67536,1.0
-2.97933,-7.67536,1.0
-2.77933,-7.67536,1.0
-2.57933,-7.67536,1.0
-2.37933,-7.67536,1.0
-2.17933,-7.67536,1.0
-1.97933,-7.67536,1.0
-1.77933,-7.67536,1.0
-1.57933,-7.67536,1.0
-1.37933,-7.67536,1.0
-1.17933,-7.67536,1.0
-0.979333,-7.67536,1.0
-0.779333,-7.67536,1.0
-0.579333,-7.67536,1.0
-0.379333,-7.67536,1.0
-0.179333,-7.67536,1.0
0.020667,-7.67536,1.0
0.220667,-7.67536,1.0
0.420667,-7.67536,1.0
0.620667,-7.67536,1.0
0.820667,-7.67536,1.0
1.02067,-7.67536,1.0
1.22067,-7.67536,1.0
1.42067,-7.67536,1.0
1.62067,-7.67536,1.0
1.82067,-7.67536,1.0
2.02067,-7.67536,1.0
2.22067,-7.67536,1.0
2.42067,-7.67536,1.0
2.62067,-7.67536,1.0
2.82067,-7.67536,1.0
3.02067,-7.67536,1.0
3.22067,-7.67536,1.0
3.42067,-7.67536,1.0
3.62067,-7.67536,1.0
3.82067,-7.67536,1.0
4.02067,-7.67536,1.0
4.22067,-7.67536,1.0
4.42067,-7.67536,1.0
4.62067,-7.67536,1.0
4.82067,-7.67536,1.0
5.02067,-7.67536,1.0
5.22067,-7.67536,1.0
5.42067,-7.67536,1.0
5.62067,-7.67536,1.0
5.82067,-7.67536,1.0
6.02067,-7.67536,1.0
6.22067,-7.67536,1.0
6.42067,-7.67536,1.0
6.62067,-7.67536,1.0
6.82067,-7.67536,1.0
7.02067,-7.67536,1.0
7.22067,-7.67536,1.0
7.42067,-7.67536,1.0
7.62067,-7.67536,1.0
7.82067,-7.67536,1.0
8.02067,-7.67536,1.0
8.22067,-7.67536,1.0
8.42067,-7.67536,1.0
8.62067,-7.67536,1.0
8.82067,-7.67536,1.0
9.02067,-7.67536,1.0
9.22067,-7.67536,1.0
9.42067,-7.67536,1.0
9.62067,-7.67536,1.0
9.82067,-7.67536,1.0
10.0207,-7.67536,1.0
10.2207,-7.67536,1.0
10.4207,-7.67536,1.0
10.6207,-7.67536,1.0
10.8207,-7.67536,1.0
11.0207,-7.67536,1.0
11.2207,-7.67536,1.0
11.4207,-7.67536,1.0
11.6207,-7.67536,1.0
11.8207,-7.67536,1.0
12.0207,-7.67536,1.0
12.2207,-7.67536,1.0
12.4207,-7.67536,1.0
12.6207,-7.67536,1.0
12.8207,-7.67536,1.0
13.0207,-7.67536,1.0
13.2207,-7.67536,1.0
13.4207,-7.67536,1.0
13.6207,-7.67536,1.0
13.8207,-7.67536,1.0
14.0207,-7.67536,1.0
14.2207,-7.67536,1.0
14.4207,-7.67536,1.0
14.6207,-7.67536,1.0
14.8207,-7.67536,1.0
15.0207,-7.67536,1.0
15.2207,-7.67536,1.0
15.4207,-7.67536,1.0
15.6207,-7.67536,1.0
15.8207,-7.67536,1.0
16.0207,-7.67536,1.0
16.2207,-7.67536,1.0
16.4207,-7.67536,1.0
16.6207,-7.67536,1.0
16.8207,-7.67536,1.0
17.0207,-7.67536,1.0
17.2207,-7.67536,1.0
17.4207,-7.67536,1.0
17.6207,-7.67536,1.0
17.8207,-7.67536,1.0
18.0207,-7.67536,1.0
18.2207,-7.67536,1.0
18.4207,-7.67536,1.0
18.6207,-7.67536,1.0
18.8207,-7.67536,1.0
19.0207,-7.67536,1.0
-14.9793,-7.47536,1.0
-14.7793,-7.47536,1.0
-14.5793,-7.47536,1.0
-14.3793,-7.47536,1.0
-14.1793,-7.47536,1.0
-13.9793,-7.47536,1.0
-13.7793,-7.47536,1.0
-13.5793,-7.47536,1.0
-13.3793,-7.47536,1.0
-13.1793,-7.47536,1.0
-12.9793,-7.47536,1.0
-12.7793,-7.47536,1.0
-12.5793,-7.47536,1.0
-12.3793,-7.47536,1.0
-12.1793,-7.47536,1.0
-11.9793,-7.47536,1.0
-11.7793,-7.47536,1.0
-11.5793,-7.47536,1.0
-11.3793,-7.47536,1.0
-11.1793,-7.47536,1.0
-10.9793,-7.47536,1.0
-10.7793,-7.47536,1.0
-10.5793,-7.47536,1.0
-10.3793,-7.47536,1.0
-10.1793,-7.47536,1.0
-9.97933,-7.47536,1.0
-9.77933,-7.47536,1.0
-9.57933,-7.47536,1.0
-9.37933,-7.47536,1.0
-9.17933,-7.47536,1.0
-8.97933,-7.47536,1.0
-8.77933,-7.47536,1.0
-8.57933,-7.47536,1.0
-8.37933,-7.47536,1.0
-8.17933,-7.47536,1.0
-7.97933,-7.47536,1.0
-7.77933,-7.47536,1.0
-7.57933,-7.47536,1.0
-7.37933,-7.47536,1.0
-7.17933,-7.47536,1.0
-6.97933,-7.47536,1.0
-6.77933,-7.47536,1.0
-6.57933,-7.47536,1.0
-6.37933,-7.47536,1.0
-6.17933,-7.47536,1.0
-5.97933,-7.47536,1.0
-5.77933,-7.47536,1.0
-5.57933,-7.47536,1.0
-5.37933,-7.47536,1.0
-5.17933,-7.47536,1.0
-4.97933,-7.47536,1.0
-4.77933,-7.47536,1.0
-4.57933,-7.47536,1.0
-4.37933,-7.47536,1.0
-4.17933,-7.47536,1.0
-3.97933,-7.47536,1.0
-3.77933,-7.47536,1.0
-3.57933,-7.47536,1.0
-3.37933,-7.47536,1.0
-3.17933,-7.47536,1.0
-2.97933,-7.47536,1.0
-2.77933,-7.47536,1.0
-2.57933,-7.47536,1.0
-2.37933,-7.47536,1.0
-2.17933,-7.47536,1.0
-1.97933,-7.47536,1.0
-1.77933,-7.47536,1.0
-1.57933,-7.47536,1.0
-1.37933,-7.47536,1.0
-1.17933,-7.47536,1.0
-0.979333,-7.47536,1.0
-0.779333,-7.47536,1.0
-0.579333,-7.47536,1.0
-0.379333,-7.47536,1.0
-0.179333,-7.47536,1.0
0.020667,-7.47536,1.0
0.220667,-7.47536,1.0
0.420667,-7.47536,1.0
0.620667,-7.47536,1.0
0.820667,-7.47536,1.0
1.02067,-7.47536,1.0
1.22067,-7.47536,1.0
1.42067,-7.47536,1.0
1.62067,-7.47536,1.0
1.82067,-7.47536,1.0
2.02067,-7.47536,1.0
2.22067,-7.47536,1.0
2.42067,-7.47536,1.0
2.62067,-7.47536,1.0
2.82067,-7.47536,1.0
3.02067,-7.47536,1.0
3.22067,-7.47536,1.0
3.42067,-7.47536,1.0
3.62067,-7.47536,1.0
3.82067,-7.47536,1.0
4.02067,-7.47536,1.0
4.22067,-7.47536,1.0
4.42067,-7.47536,1.0
4.62067,-7.47536,1.0
4.82067,-7.47536,1.0
5.02067,-7.47536,1.0
5.22067,-7.47536,1.0
5.42067,-7.47536,1.0
5.62067,-7.47536,1.0
5.82067,-7.47536,1.0
6.02067,-7.47536,1.0
6.22067,-7.47536,1.0
6.42067,-7.47536,1.0
6.62067,-7.47536,1.0
6.82067,-7.47536,1.0
7.02067,-7.47536,1.0
7.22067,-7.47536,1.0
7.42067,-7.47536,1.0
7.62067,-7.47536,1.0
7.82067,-7.47536,1.0
8.02067,-7.47536,1.0
8.22067,-7.47536,1.0
8.42067,-7.47536,1.0
8.62067,-7.47536,1.0
8.82067,-7.47536,1.0
9.02067,-7.47536,1.0
9.22067,-7.47536,1.0
9.42067,-7.47536,1.0
9.62067,-7.47536,1.0
9.82067,-7.47536,1.0
10.0207,-7.47536,1.0
10.2207,-7.47536,1.0
10.4207,-7.47536,1.0
10.6207,-7.47536,1.0
10.8207,-7.47536,1.0
11.0207,-7.47536,1.0
11.2207,-7.47536,1.0
11.4207,-7.47536,1.0
11.6207,-7.47536,1.0
11.8207,-7.47536,1.0
12.0207,-7.47536,1.0
12.2207,-7.47536,1.0
12.4207,-7.47536,1.0
12.6207,-7.47536,1.0
12.8207,-7.47536,1.0
13.0207,-7.47536,1.0
13.2207,-7.47536,1.0
13.4207,-7.47536,1.0
13.6207,-7.47536,1.0
13.8207,-7.47536,1.0
14.0207,-7.47536,1.0
14.2207,-7.47536,1.0
14.4207,-7.47536,1.0
14.6207,-7.47536,1.0
14.8207,-7.47536,1.0
15.0207,-7.47536,1.0
15.2207,-7.47536,1.0
15.4207,-7.47536,1.0
15.6207,-7.47536,1.0
15.8207,-7.47536,1.0
16.0207,-7.47536,1.0
16.2207,-7.47536,1.0
16.4207,-7.47536,1.0
16.6207,-7.47536,1.0
16.8207,-7.47536,1.0
17.0207,-7.47536,1.0
17.2207,-7.47536,1.0
17.4207,-7.47536,1.0
17.6207,-7.47536,1.0
17.8207,-7.47536,1.0
18.0207,-7.47536,1.0
18.2207,-7.47536,1.0
18.4207,-7.47536,1.0
18.6207,-7.47536,1.0
18.8207,-7.47536,1.0
19.0207,-7.47536,1.0
-14.9793,-7.27536,1.0
-14.7793,-7.27536,1.0
-14.5793,-7.27536,1.0
-14.3793,-7.27536,1.0
-14.1793,-7.27536,1.0
-13.9793,-7.27536,1.0
-13.7793,-7.27536,1.0
-13.5793,-7.27536,1.0
-13.3793,-7.27536,1.0
-13.1793,-7.27536,1.0
-12.9793,-7.27536,1.0
-12.7793,-7.27536,1.0
-12.5793,-7.27536,1.0
-12.3793,-7.27536,1.0
-12.1793,-7.27536,1.0
-11.9793,-7.27536,1.0
-11.7793,-7.27536,1.0
-11.5793,-7.27536,1.0
-11.3793,-7.27536,1.0
-11.1793,-7.27536,1.0
-10.9793,-7.27536,1.0
-10.7793,-7.27536,1.0
-10.5793,-7.27536,1.0
-10.3793,-7.27536,1.0
-10.1793,-7.27536,1.0
-9.97933,-7.27536,1.0
-9.77933,-7.27536,1.0
-9.57933,-7.27536,1.0
-9.37933,-7.27536,1.0
-9.17933,-7.27536,1.0
-8.97933,-7.27536,1.0
-8.77933,-7.27536,1.0
-8.57933,-7.27536,1.0
-8.37933,-7.27536,1.0
-8.17933,-7.27536,1.0
-7.97933,-7.27536,1.0
-7.77933,-7.27536,1.0
-7.57933,-7.27536,1.0
-7.37933,-7.27536,1.0
-7.17933,-7.27536,1.0
-6.97933,-7.27536,1.0
-6.77933,-7.27536,1.0
-6.57933,-7.27536,1.0
-6.37933,-7.27536,1.0
-6.17933,-7.27536,1.0
-5.97933,-7.27536,1.0
-5.77933,-7.27536,1.0
-5.57933,-7.27536,1.0
-5.37933,-7.27536,1.0
-5.17933,-7.27536,1.0
-4.97933,-7.27536,1.0
-4.77933,-7.27536,1.0
-4.57933,-7.27536,1.0
-4.37933,-7.27536,1.0
-4.17933,-7.27536,1.0
-3.97933,-7.27536,1.0
-3.77933,-7.27536,1.0
-3.57933,-7.27536,1.0
-3.37933,-7.27536,1.0
-3.17933,-7.27536,1.0
-2.97933,-7.27536,1.0
-2.77933,-7.27536,1.0
-2.57933,-7.27536,1.0
-2.37933,-7.27536,1.0
-2.17933,-7.27536,1.0
-1.97933,-7.27536,1.0
-1.77933,-7.27536,1.0
-1.57933,-7.27536,1.0
-1.37933,-7.27536,1.0
-1.17933,-7.27536,1.0
-0.979333,-7.27536,1.0
-0.779333,-7.27536,1.0
-0.579333,-7.27536,1.0
-0.379333,-7.27536,1.0
-0.179333,-7.27536,1.0
0.020667,-7.27536,1.0
0.220667,-7.27536,1.0
0.420667,-7.27536,1.0
0.620667,-7.27536,1.0
0.820667,-7.27536,1.0
1.02067,-7.27536,1.0
1.22067,-7.27536,1.0
1.42067,-7.27536,1.0
1.62067,-7.27536,1.0
1.82067,-7.27536,1.0
2.02067,-7.27536,1.0
2.22067,-7.27536,1.0
2.42067,-7.27536,1.0
2.62067,-7.27536,1.0
2.82067,-7.27536,1.0
3.02067,-7.27536,1.0
3.22067,-7.27536,1.0
3.42067,-7.27536,1.0
3.62067,-7.27536,1.0
3.82067,-7.27536,1.0
4.02067,-7.27536,1.0
4.22067,-7.27536,1.0
4.42067,-7.27536,1.0
4.62067,-7.27536,1.0
4.82067,-7.27536,1.0
5.02067,-7.27536,1.0
5.22067,-7.27536,1.0
5.42067,-7.27536,1.0
5.62067,-7.27536,1.0
5.82067,-7.27536,1.0
6.02067,-7.27536,1.0
6.22067,-7.27536,1.0
6.42067,-7.27536,1.0
6.62067,-7.27536,1.0
6.82067,-7.27536,1.0
7.02067,-7.27536,1.0
7.22067,-7.27536,1.0
7.42067,-7.27536,1.0
7.62067,-7.27536,1.0
7.82067,-7.27536,1.0
8.02067,-7.27536,1.0
8.22067,-7.27536,1.0
8.42067,-7.27536,1.0
8.62067,-7.27536,1.0
8.82067,-7.27536,1.0
9.02067,-7.27536,1.0
9.22067,-7.27536,1.0
9.42067,-7.27536,1.0
9.62067,-7.27536,1.0
9.82067,-7.27536,1.0
10.0207,-7.27536,1.0
10.2207,-7.27536,1.0
10.4207,-7.27536,1.0
10.6207,-7.27536,1.0
10.8207,-7.27536,1.0
11.0207,-7.27536,1.0
11.2207,-7.27536,1.0
11.4207,-7.27536,1.0
11.6207,-7.27536,1.0
11.8207,-7.27536,1.0
12.0207,-7.27536,1.0
12.2207,-7.27536,1.0
12.4207,-7.27536,1.0
12.6207,-7.27536,1.0
12.8207,-7.27536,1.0
13.0207,-7.27536,1.0
13.2207,-7.27536,1.0
13.4207,-7.27536,1.0
13.6207,-7.27536,1.0
13.8207,-7.27536,1.0
14.0207,-7.27536,1.0
14.2207,-7.27536,1.0
14.4207,-7.27536,1.0
14.6207,-7.27536,1.0
14.8207,-7.27536,1.0
15.0207,-7.27536,1.0
15.2207,-7.27536,1.0
15.4207,-7.27536,1.0
15.6207,-7.27536,1.0
15.8207,-7.27536,1.0
16.0207,-7.27536,1.0
16.2207,-7.27536,1.0
16.4207,-7.27536,1.0
16.6207,-7.27536,1.0
16.8207,-7.27536,1.0
17.0207,-7.27536,1.0
17.2207,-7.27536,1.0
17.4207,-7.27536,1.0
17.6207,-7.27536,1.0
17.8207,-7.27536,1.0
18.0207,-7.27536,1.0
18.2207,-7.27536,1.0
18.4207,-7.27536,1.0
18.6207,-7.27536,1.0
18.8207,-7.27536,1.0
19.0207,-7.27536,1.0
-14.9793,-7.07536,1.0
-14.7793,-7.07536,1.0
-14.5793,-7.07536,1.0
-14.3793,-7.07536,1.0
-14.1793,-7.07536,1.0
-13.9793,-7.07536,1.0
-13.7793,-7.07536,1.0
-13.5793,-7.07536,1.0
-13.3793,-7.07536,1.0
-13.1793,-7.07536,1.0
-12.9793,-7.07536,1.0
-12.7793,-7.07536,1.0
-12.5793,-7.07536,1.0
-12.3793,-7.07536,1.0
-12.1793,-7.07536,1.0
-11.9793,-7.07536,1.0
-11.7793,-7.07536,1.0
-11.5793,-7.07536,1.0
-11.3793,-7.07536,1.0
-11.1793,-7.07536,1.0
-10.9793,-7.07536,1.0
-10.7793,-7.07536,1.0
-10.5793,-7.07536,1.0
-10.3793,-7.07536,1.0
-10.1793,-7.07536,1.0
-9.97933,-7.07536,1.0
-9.77933,-7.07536,1.0
-9.57933,-7.07536,1.0
-9.37933,-7.07536,1.0
-9.17933,-7.07536,1.0
-8.97933,-7.07536,1.0
-8.77933,-7.07536,1.0
-8.57933,-7.07536,1.0
-8.37933,-7.07536,1.0
-8.17933,-7.07536,1.0
-7.97933,-7.07536,1.0
-7.77933,-7.07536,1.0
-7.57933,-7.07536,1.0
-7.37933,-7.07536,1.0
-7.17933,-7.07536,1.0
-6.97933,-7.07536,1.0
-6.77933,-7.07536,1.0
-6.57933,-7.07536,1.0
-6.37933,-7.07536,1.0
-6.17933,-7.07536,1.0
-5.97933,-7.07536,1.0
-5.77933,-7.07536,1.0
-5.57933,-7.07536,1.0
-5.37933,-7.07536,1.0
-5.17933,-7.07536,1.0
-4.97933,-7.07536,1.0
-4.77933,-7.07536,1.0
-4.57933,-7.07536,1.0
-4.37933,-7.07536,1.0
-4.17933,-7.07536,1.0
-3.97933,-7.07536,1.0
-3.77933,-7.07536,1.0
-3.57933,-7.07536,1.0
-3.37933,-7.07536,1.0
-3.17933,-7.07536,1.0
-2.97933,-7.07536,1.0
-2.77933,-7.07536,1.0
-2.57933,-7.07536,1.0
-2.37933,-7.07536,1.0
-2.17933,-7.07536,1.0
-1.97933,-7.07536,1.0
-1.77933,-7.07536,1.0
-1.57933,-7.07536,1.0
-1.37933,-7.07536,1.0
-1.17933,-7.07536,1.0
-0.979333,-7.07536,1.0
-0.779333,-7.07536,1.0
-0.579333,-7.07536,1.0
-0.379333,-7.07536,1.0
-0.179333,-7.07536,1.0
0.020667,-7.07536,1.0
0.220667,-7.07536,1.0
0.420667,-7.07536,1.0
0.620667,-7.07536,1.0
0.820667,-7.07536,1.0
1.02067,-7.07536,1.0
1.22067,-7.07536,1.0
1.42067,-7.07536,1.0
1.62067,-7.07536,1.0
1.82067,-7.07536,1.0
2.02067,-7.07536,1.0
2.22067,-7.07536,1.0
2.42067,-7.07536,1.0
2.62067,-7.07536,1.0
2.82067,-7.07536,1.0
3.02067,-7.07536,1.0
3.22067,-7.07536,1.0
3.42067,-7.07536,1.0
3.62067,-7.07536,1.0
3.82067,-7.07536,1.0
4.02067,-7.07536,1.0
4.22067,-7.07536,1.0
4.42067,-7.07536,1.0
4.62067,-7.07536,1.0
4.82067,-7.07536,1.0
5.02067,-7.07536,1.0
5.22067,-7.07536,1.0
5.42067,-7.07536,1.0
5.62067,-7.07536,1.0
5.82067,-7.07536,1.0
6.02067,-7.07536,1.0
6.22067,-7.07536,1.0
6.42067,-7.07536,1.0
6.62067,-7.07536,1.0
6.82067,-7.07536,1.0
7.02067,-7.07536,1.0
7.22067,-7.07536,1.0
7.42067,-7.07536,1.0
7.62067,-7.07536,1.0
7.82067,-7.07536,1.0
8.02067,-7.07536,1.0
8.22067,-7.07536,1.0
8.42067,-7.07536,1.0
8.62067,-7.07536,1.0
8.82067,-7.07536,1.0
9.02067,-7.07536,1.0
9.22067,-7.07536,1.0
9.42067,-7.07536,1.0
9.62067,-7.07536,1.0
9.82067,-7.07536,1.0
10.0207,-7.07536,1.0
10.2207,-7.07536,1.0
10.4207,-7.07536,1.0
10.6207,-7.07536,1.0
10.8207,-7.07536,1.0
11.0207,-7.07536,1.0
11.2207,-7.07536,1.0
11.4207,-7.07536,1.0
11.6207,-7.07536,1.0
11.8207,-7.07536,1.0
12.0207,-7.07536,1.0
12.2207,-7.07536,1.0
12.4207,-7.07536,1.0
12.6207,-7.07536,1.0
12.8207,-7.07536,1.0
13.0207,-7.07536,1.0
13.2207,-7.07536,1.0
13.4207,-7.07536,1.0
13.6207,-7.07536,1.0
13.8207,-7.07536,1.0
14.0207,-7.07536,1.0
14.2207,-7.07536,1.0
14.4207,-7.07536,1.0
14.6207,-7.07536,1.0
14.8207,-7.07536,1.0
15.0207,-7.07536,1.0
15.2207,-7.07536,1.0
15.4207,-7.07536,1.0
15.6207,-7.07536,1.0
15.8207,-7.07536,1.0
16.0207,-7.07536,1.0
16.2207,-7.07536,1.0
16.4207,-7.07536,1.0
16.6207,-7.07536,1.0
16.8207,-7.07536,1.0
17.0207,-7.07536,1.0
17.2207,-7.07536,1.0
17.4207,-7.07536,1.0
17.6207,-7.07536,1.0
17.8207,-7.07536,1.0
18.0207,-7.07536,1.0
18.2207,-7.07536,1.0
18.4207,-7.07536,1.0
18.6207,-7.07536,1.0
18.8207,-7.07536,1.0
19.0207,-7.07536,1.0
-14.9793,-6.87536,1.0
-14.7793,-6.87536,1.0
-14.5793,-6.87536,1.0
-14.3793,-6.87536,1.0
-14.1793,-6.87536,1.0
-13.9793,-6.87536,1.0
-13.7793,-6.87536,1.0
-13.5793,-6.87536,1.0
-13.3793,-6.87536,1.0
-13.1793,-6.87536,1.0
-12.9793,-6.87536,1.0
-12.7793,-6.87536,1.0
-12.5793,-6.87536,1.0
-12.3793,-6.87536,1.0
-12.1793,-6.87536,1.0
-11.9793,-6.87536,1.0
-11.7793,-6.87536,1.0
-11.5793,-6.87536,1.0
-11.3793,-6.87536,1.0
-11.1793,-6.87536,1.0
-10.9793,-6.87536,1.0
-10.7793,-6.87536,1.0
-10.5793,-6.87536,1.0
-10.3793,-6.87536,1.0
-10.1793,-6.87536,1.0
-9.97933,-6.87536,1.0
-9.77933,-6.87536,1.0
-9.57933,-6.87536,1.0
-9.37933,-6.87536,1.0
-9.17933,-6.87536,1.0
-8.97933,-6.87536,1.0
-8.77933,-6.87536,1.0
-8.57933,-6.87536,1.0
-8.37933,-6.87536,1.0
-8.17933,-6.87536,1.0
-7.97933,-6.87536,1.0
-7.77933,-6.87536,1.0
-7.57933,-6.87536,1.0
-7.37933,-6.87536,1.0
-7.17933,-6.87536,1.0
-6.97933,-6.87536,1.0
-6.77933,-6.87536,1.0
-6.57933,-6.87536,1.0
-6.37933,-6.87536,1.0
-6.17933,-6.87536,1.0
-5.97933,-6.87536,1.0
-5.77933,-6.87536,1.0
-5.57933,-6.87536,1.0
-5.37933,-6.87536,1.0
-5.17933,-6.87536,1.0
-4.97933,-6.87536,1.0
-4.77933,-6.87536,1.0
-4.57933,-6.87536,1.0
-4.37933,-6.87536,1.0
-4.17933,-6.87536,1.0
-3.97933,-6.87536,1.0
-3.77933,-6.87536,1.0
-3.57933,-6.87536,1.0
-3.37933,-6.87536,1.0
-3.17933,-6.87536,1.0
-2.97933,-6.87536,1.0
-2.77933,-6.87536,1.0
-2.57933,-6.87536,1.0
-2.37933,-6.87536,1.0
-2.17933,-6.87536,1.0
-1.97933,-6.87536,1.0
-1.77933,-6.87536,1.0
-1.57933,-6.87536,1.0
-1.37933,-6.87536,1.0
-1.17933,-6.87536,1.0
-0.979333,-6.87536,1.0
-0.779333,-6.87536,1.0
-0.579333,-6.87536,1.0
-0.379333,-6.87536,1.0
-0.179333,-6.87536,1.0
0.020667,-6.87536,1.0
0.220667,-6.87536,1.0
0.420667,-6.87536,1.0
0.620667,-6.87536,1.0
0.820667,-6.87536,1.0
1.02067,-6.87536,1.0
1.22067,-6.87536,1.0
1.42067,-6.87536,1.0
1.62067,-6.87536,1.0
1.82067,-6.87536,1.0
2.02067,-6.87536,1.0
2.22067,-6.87536,1.0
2.42067,-6.87536,1.0
2.62067,-6.87536,1.0
2.82067,-6.87536,1.0
3.02067,-6.87536,1.0
3.22067,-6.87536,1.0
3.42067,-6.87536,1.0
3.62067,-6.87536,1.0
3.82067,-6.87536,1.0
4.02067,-6.87536,1.0
4.22067,-6.87536,1.0
4.42067,-6.87536,1.0
4.62067,-6.87536,1.0
4.82067,-6.87536,1.0
5.02067,-6.87536,1.0
5.22067,-6.87536,1.0
5.42067,-6.87536,1.0
5.62067,-6.87536,1.0
5.82067,-6.87536,1.0
6.02067,-6.87536,1.0
6.22067,-6.87536,1.0
6.42067,-6.87536,1.0
6.62067,-6.87536,1.0
6.82067,-6.87536,1.0
7.02067,-6.87536,1.0
7.22067,-6.87536,1.0
7.42067,-6.87536,1.0
7.62067,-6.87536,1.0
7.82067,-6.87536,1.0
8.02067,-6.87536,1.0
8.22067,-6.87536,1.0
8.42067,-6.87536,1.0
8.62067,-6.87536,1.0
8.82067,-6.87536,1.0
9.02067,-6.87536,1.0
9.22067,-6.87536,1.0
9.42067,-6.87536,1.0
9.62067,-6.87536,1.0
9.82067,-6.87536,1.0
10.0207,-6.87536,1.0
10.2207,-6.87536,1.0
10.4207,-6.87536,1.0
10.6207,-6.87536,1.0
10.8207,-6.87536,1.0
11.0207,-6.87536,1.0
11.2207,-6.87536,1.0
11.4207,-6.87536,1.0
11.6207,-6.87536,1.0
11.8207,-6.87536,1.0
12.0207,-6.87536,1.0
12.2207,-6.87536,1.0
12.4207,-6.87536,1.0
12.6207,-6.87536,1.0
12.8207,-6.87536,1.0
13.0207,-6.87536,1.0
13.2207,-6.87536,1.0
13.4207,-6.87536,1.0
13.6207,-6.87536,1.0
13.8207,-6.87536,1.0
14.0207,-6.87536,1.0
14.2207,-6.87536,1.0
14.4207,-6.87536,1.0
14.6207,-6.87536,1.0
14.8207,-6.87536,1.0
15.0207,-6.87536,1.0
15.2207,-6.87536,1.0
15.4207,-6.87536,1.0
15.6207,-6.87536,1.0
15.8207,-6.87536,1.0
16.0207,-6.87536,1.0
16.2207,-6.87536,1.0
16.4207,-6.87536,1.0
16.6207,-6.87536,1.0
16.8207,-6.87536,1.0
17.0207,-6.87536,1.0
17.2207,-6.87536,1.0
17.4207,-6.87536,1.0
17.6207,-6.87536,1.0
17.8207,-6.87536,1.0
18.0207,-6.87536,1.0
18.2207,-6.87536,1.0
18.4207,-6.87536,1.0
18.6207,-6.87536,1.0
18.8207,-6.87536,1.0
19.0207,-6.87536,1.0
-14.9793,-6.67536,1.0
-14.7793,-6.67536,1.0
-14.5793,-6.67536,1.0
-14.3793,-6.67536,1.0
-14.1793,-6.67536,1.0
-13.9793,-6.67536,1.0
-13.7793,-6.67536,1.0
-13.5793,-6.67536,1.0
-13.3793,-6.67536,1.0
-13.1793,-6.67536,1.0
-12.9793,-6.67536,1.0
-12.7793,-6.67536,1.0
-12.5793,-6.67536,1.0
-12.3793,-6.67536,1.0
-12.1793,-6.67536,1.0
-11.9793,-6.67536,1.0
-11.7793,-6.67536,1.0
-11.5793,-6.67536,1.0
-11.3793,-6.67536,1.0
-11.1793,-6.67536,1.0
-10.9793,-6.67536,1.0
-10.7793,-6.67536,1.0
-10.5793,-6.67536,1.0
-10.3793,-6.67536,1.0
-10.1793,-6.67536,1.0
-9.97933,-6.67536,1.0
-9.77933,-6.67536,1.0
-9.57933,-6.67536,1.0
-9.37933,-6.67536,1.0
-9.17933,-6.67536,1.0
-8.97933,-6.67536,1.0
-8.77933,-6.67536,1.0
-8.57933,-6.67536,1.0
-8.37933,-6.67536,1.0
-8.17933,-6.67536,1.0
-7.97933,-6.67536,1.0
-7.77933,-6.67536,1.0
-7.57933,-6.67536,1.0
-7.37933,-6.67536,1.0
-7.17933,-6.67536,1.0
-6.97933,-6.67536,1.0
-6.77933,-6.67536,1.0
-6.57933,-6.67536,1.0
-6.37933,-6.67536,1.0
-6.17933,-6.67536,1.0
-5.97933,-6.67536,1.0
-5.77933,-6.67536,1.0
-5.57933,-6.67536,1.0
-5.37933,-6.67536,1.0
-5.17933,-6.67536,1.0
-4.97933,-6.67536,1.0
-4.77933,-6.67536,1.0
-4.57933,-6.67536,1.0
-4.37933,-6.67536,1.0
-4.17933,-6.67536,1.0
-3.97933,-6.67536,1.0
-3.77933,-6.67536,1.0
-3.57933,-6.67536,1.0
-3.37933,-6.67536,1.0
-3.17933,-6.67536,1.0
-2.97933,-6.67536,1.0
-2.77933,-6.67536,1.0
-2.57933,-6.67536,1.0
-2.37933,-6.67536,1.0
-2.17933,-6.67536,1.0
-1.97933,-6.67536,1.0
-1.77933,-6.67536,1.0
-1.57933,-6.67536,1.0
-1.37933,-6.67536,1.0
-1.17933,-6.67536,1.0
-0.979333,-6.67536,1.0
-0.779333,-6.67536,1.0
-0.579333,-6.67536,1.0
-0.379333,-6.67536,1.0
-0.179333,-6.67536,1.0
0.020667,-6.67536,1.0
0.220667,-6.67536,1.0
0.420667,-6.67536,1.0
0.620667,-6.67536,1.0
0.820667,-6.67536,1.0
1.02067,-6.67536,1.0
1.22067,-6.67536,1.0
1.42067,-6.67536,1.0
1.62067,-6.67536,1.0
1.82067,-6.67536,1.0
2.02067,-6.67536,1.0
2.22067,-6.67536,1.0
2.42067,-6.67536,1.0
2.62067,-6.67536,1.0
2.82067,-6.67536,1.0
3.02067,-6.67536,1.0
3.22067,-6.67536,1.0
3.42067,-6.67536,1.0
3.62067,-6.67536,1.0
3.82067,-6.67536,1.0
4.02067,-6.67536,1.0
4.22067,-6.67536,1.0
4.42067,-6.67536,1.0
4.62067,-6.67536,1.0
4.82067,-6.67536,1.0
5.02067,-6.67536,1.0
5.22067,-6.67536,1.0
5.42067,-6.67536,1.0
5.62067,-6.67536,1.0
5.82067,-6.67536,1.0
6.02067,-6.67536,1.0
6.22067,-6.67536,1.0
6.42067,-6.67536,1.0
6.62067,-6.67536,1.0
